2024-06-18 13:19:28,999 Instantiated <InsecureClient(url='http://10.4.41.35:9870/')>.
2024-06-18 13:19:29,000 Listing 'user/bdm/Formatted_zone/hotels'.
2024-06-18 13:19:29,000 Resolved path '/' to '/'.
2024-06-18 13:19:29,008 Starting new HTTP connection (1): 10.4.41.35:9870
2024-06-18 13:19:29,028 http://10.4.41.35:9870 "GET /webhdfs/v1/?user.name=bdm&op=GETHOMEDIRECTORY HTTP/1.1" 200 None
2024-06-18 13:19:29,029 Updated root to '/user/bdm'.
2024-06-18 13:19:29,029 Resolved path 'user/bdm/Formatted_zone/hotels' to '/user/bdm/user/bdm/Formatted_zone/hotels'.
2024-06-18 13:19:29,030 Resolved path '/user/bdm/user/bdm/Formatted_zone/hotels' to '/user/bdm/user/bdm/Formatted_zone/hotels'.
2024-06-18 13:19:29,066 http://10.4.41.35:9870 "GET /webhdfs/v1/user/bdm/user/bdm/Formatted_zone/hotels?user.name=bdm&op=LISTSTATUS HTTP/1.1" 200 None
2024-06-18 13:19:29,068 Fetching status for '/user/bdm/user/bdm/Formatted_zone/hotels'.
2024-06-18 13:19:29,068 Resolved path '/user/bdm/user/bdm/Formatted_zone/hotels' to '/user/bdm/user/bdm/Formatted_zone/hotels'.
2024-06-18 13:19:29,077 http://10.4.41.35:9870 "GET /webhdfs/v1/user/bdm/user/bdm/Formatted_zone/hotels?user.name=bdm&op=GETFILESTATUS HTTP/1.1" 200 None
2024-06-18 13:19:29,078 Listing 'user/bdm/Formatted_zone/hotels/20240615-1328-hotels'.
2024-06-18 13:19:29,079 Resolved path 'user/bdm/Formatted_zone/hotels/20240615-1328-hotels' to '/user/bdm/user/bdm/Formatted_zone/hotels/20240615-1328-hotels'.
2024-06-18 13:19:29,079 Resolved path '/user/bdm/user/bdm/Formatted_zone/hotels/20240615-1328-hotels' to '/user/bdm/user/bdm/Formatted_zone/hotels/20240615-1328-hotels'.
2024-06-18 13:19:29,087 http://10.4.41.35:9870 "GET /webhdfs/v1/user/bdm/user/bdm/Formatted_zone/hotels/20240615-1328-hotels?user.name=bdm&op=LISTSTATUS HTTP/1.1" 200 None
2024-06-18 13:19:29,088 Downloading 'user/bdm/Formatted_zone/hotels/20240615-1328-hotels/._SUCCESS.crc' to 'model_temp/20240615-1328-hotels/._SUCCESS.crc'.
2024-06-18 13:19:29,088 Resolved path 'user/bdm/Formatted_zone/hotels/20240615-1328-hotels/._SUCCESS.crc' to '/user/bdm/user/bdm/Formatted_zone/hotels/20240615-1328-hotels/._SUCCESS.crc'.
2024-06-18 13:19:29,089 Walking '/user/bdm/user/bdm/Formatted_zone/hotels/20240615-1328-hotels/._SUCCESS.crc' (depth 0).
2024-06-18 13:19:29,089 Resolved path '/user/bdm/user/bdm/Formatted_zone/hotels/20240615-1328-hotels/._SUCCESS.crc' to '/user/bdm/user/bdm/Formatted_zone/hotels/20240615-1328-hotels/._SUCCESS.crc'.
2024-06-18 13:19:29,089 Fetching status for '/user/bdm/user/bdm/Formatted_zone/hotels/20240615-1328-hotels/._SUCCESS.crc'.
2024-06-18 13:19:29,089 Resolved path '/user/bdm/user/bdm/Formatted_zone/hotels/20240615-1328-hotels/._SUCCESS.crc' to '/user/bdm/user/bdm/Formatted_zone/hotels/20240615-1328-hotels/._SUCCESS.crc'.
2024-06-18 13:19:29,097 http://10.4.41.35:9870 "GET /webhdfs/v1/user/bdm/user/bdm/Formatted_zone/hotels/20240615-1328-hotels/._SUCCESS.crc?user.name=bdm&op=GETFILESTATUS HTTP/1.1" 200 None
2024-06-18 13:19:29,098 Downloading 1 files using 1 thread(s).
2024-06-18 13:19:29,098 Downloading '/user/bdm/user/bdm/Formatted_zone/hotels/20240615-1328-hotels/._SUCCESS.crc' to 'D:\\Documents\\Data Science\\Big_Data_Management\\Project2\\model_temp\\20240615-1328-hotels\\._SUCCESS.crc'.
2024-06-18 13:19:29,098 Reading file '/user/bdm/user/bdm/Formatted_zone/hotels/20240615-1328-hotels/._SUCCESS.crc'.
2024-06-18 13:19:29,099 Resolved path '/user/bdm/user/bdm/Formatted_zone/hotels/20240615-1328-hotels/._SUCCESS.crc' to '/user/bdm/user/bdm/Formatted_zone/hotels/20240615-1328-hotels/._SUCCESS.crc'.
2024-06-18 13:19:29,112 http://10.4.41.35:9870 "GET /webhdfs/v1/user/bdm/user/bdm/Formatted_zone/hotels/20240615-1328-hotels/._SUCCESS.crc?user.name=bdm&offset=0&op=OPEN HTTP/1.1" 307 0
2024-06-18 13:19:29,114 Starting new HTTP connection (1): charmander.fib.upc.es:9864
2024-06-18 13:19:29,215 http://charmander.fib.upc.es:9864 "GET /webhdfs/v1/user/bdm/user/bdm/Formatted_zone/hotels/20240615-1328-hotels/._SUCCESS.crc?op=OPEN&user.name=bdm&namenoderpcaddress=charmander.fib.upc.es:27000&offset=0 HTTP/1.1" 200 8
2024-06-18 13:19:29,216 Closed response for reading file '/user/bdm/user/bdm/Formatted_zone/hotels/20240615-1328-hotels/._SUCCESS.crc'.
2024-06-18 13:19:29,216 Download of /user/bdm/user/bdm/Formatted_zone/hotels/20240615-1328-hotels/._SUCCESS.crc to 'D:\\Documents\\Data Science\\Big_Data_Management\\Project2\\model_temp\\20240615-1328-hotels\\._SUCCESS.crc' complete.
2024-06-18 13:19:29,217 Downloading 'user/bdm/Formatted_zone/hotels/20240615-1328-hotels/.part-00000-3156af16-7102-418e-8f75-613ab9a57fc7-c000.snappy.parquet.crc' to 'model_temp/20240615-1328-hotels/.part-00000-3156af16-7102-418e-8f75-613ab9a57fc7-c000.snappy.parquet.crc'.
2024-06-18 13:19:29,217 Resolved path 'user/bdm/Formatted_zone/hotels/20240615-1328-hotels/.part-00000-3156af16-7102-418e-8f75-613ab9a57fc7-c000.snappy.parquet.crc' to '/user/bdm/user/bdm/Formatted_zone/hotels/20240615-1328-hotels/.part-00000-3156af16-7102-418e-8f75-613ab9a57fc7-c000.snappy.parquet.crc'.
2024-06-18 13:19:29,217 Walking '/user/bdm/user/bdm/Formatted_zone/hotels/20240615-1328-hotels/.part-00000-3156af16-7102-418e-8f75-613ab9a57fc7-c000.snappy.parquet.crc' (depth 0).
